Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Weight in Kgs.,Date of Joining,Salary,Last % Hike,Place Name,County,City,State,Region
850297,Ms.,Shawna,W,Buck,F,shawna.buck@gmail.com,Rosario Buck,Keisha Buck,Hendricks,12/12/1971,6:34:47 AM,44,12/18/2010,119090,17%,Las Vegas,Clark,Las Vegas,NV,West
304721,Mr.,Nathaniel,Z,Burke,M,nathaniel.burke@walmart.com,Derrick Burke,Phoebe Burke,Pugh,10/31/1993,2:02:38 AM,52,4/25/2017,117991,14%,Irons,Lake,Irons,MI,Midwest
412317,Drs.,Elisabeth,W,Foster,F,elisabeth.foster@gmail.com,Irwin Foster,Janie Foster,Delaney,11/26/1994,3:48:27 PM,42,3/27/2017,161045,28%,Lexington,Fayette,Lexington,KY,South
621375,Mrs.,Briana,C,Lancaster,F,briana.lancaster@yahoo.com,Jeffrey Lancaster,Shelby Lancaster,Weiss,11/24/1975,9:44:16 PM,43,2/25/2003,142616,16%,Munster,Lake,Munster,IN,Midwest
787549,Hon.,Estella,L,Potter,F,estella.potter@gmail.com,Booker Potter,Katelyn Potter,Pate,3/13/1995,9:30:28 PM,58,10/11/2016,135706,11%,Fairbanks,Fairbanks North Star,Fairbanks,AK,West
520092,Mr.,Lamont,L,Woods,M,lamont.woods@hotmail.com,Ignacio Woods,Beulah Woods,Trujillo,10/13/1991,7:19:41 AM,59,11/27/2014,173027,17%,Purcellville,Loudoun,Purcellville,VA,South
795934,Ms.,Melinda,L,Lopez,F,melinda.lopez@hotmail.com,Leroy Lopez,Edna Lopez,Carter,9/15/1984,1:31:34 PM,55,11/22/2005,41287,4%,Stowell,Chambers,Stowell,TX,South
159108,Mrs.,Shanna,U,Silva,F,shanna.silva@gmail.com,Eliseo Silva,Minnie Silva,Callahan,6/19/1958,12:42:34 PM,48,10/23/1999,85833,13%,Herndon,Fairfax,Herndon,VA,South
330816,Ms.,Jasmine,J,Freeman,F,jasmine.freeman@gmail.com,Hans Freeman,Renee Freeman,Mcbride,8/31/1961,5:28:26 AM,55,02/01/1983,154216,1%,Ocoee,Polk,Ocoee,TN,South
532002,Ms.,Madge,V,Sargent,F,madge.sargent@aol.com,Luke Sargent,Judy Sargent,Herrera,10/02/1981,5:09:07 PM,58,4/13/2006,133003,20%,Springfield,Sangamon,Springfield,IL,Midwest
612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,Eddie Cline,Deanne Cline,Gordon,10/01/1986,5:22:21 AM,48,4/19/2008,154836,21%,Montgomery,Lycoming,Montgomery,PA,Northeast
483751,Prof.,Reid,F,Randolph,M,reid.randolph@gmail.com,Grover Randolph,Erika Randolph,Melendez,1/20/1989,11:39:31 PM,78,04/08/2017,124757,17%,Pacoima,Los Angeles,Pacoima,CA,West
252938,Hon.,Antoine,H,Wiley,M,antoine.wiley@verizon.net,Frances Wiley,Naomi Wiley,Kirby,2/22/1996,6:29:11 PM,61,4/18/2017,58733,24%,Canby,Clackamas,Canby,OR,West
966375,Dr.,Mathew,O,Hodge,M,mathew.hodge@hotmail.com,Prince Hodge,Regina Hodge,Henderson,07/05/1995,3:24:44 PM,89,11/11/2016,75584,14%,Van Nuys,Los Angeles,Van Nuys,CA,West
707520,Mr.,Bernardo,L,Austin,M,bernardo.austin@hotmail.com,Lowell Austin,Shauna Austin,Humphrey,02/02/1975,11:18:06 PM,64,1/26/2005,118693,15%,Knoxville,Marion,Knoxville,IA,Midwest
673049,Dr.,Cole,E,Jensen,M,cole.jensen@aol.com,Terence Jensen,Belinda Jensen,Brown,02/10/1990,7:36:01 PM,74,5/30/2011,98381,22%,Oklahoma City,Oklahoma,Oklahoma City,OK,South
265124,Ms.,Tonia,J,Burns,F,tonia.burns@gmail.com,Johnathan Burns,Brianna Burns,Lester,4/19/1985,10:44:02 PM,50,09/12/2014,102274,19%,Friant,Fresno,Friant,CA,West
300693,Mr.,Tod,N,Holcomb,M,tod.holcomb@outlook.com,Gail Holcomb,Beulah Holcomb,Keller,6/21/1987,5:10:47 AM,76,06/05/2015,91719,3%,Patuxent River,St. Mary's,Patuxent River,MD,South
369712,Mrs.,Yesenia,B,Guerrero,F,yesenia.guerrero@btinternet.com,Alfred Guerrero,Lori Guerrero,Joyner,3/29/1968,4:24:45 PM,41,03/03/1994,150016,4%,Reisterstown,Baltimore,Reisterstown,MD,South
913253,Mr.,Carey,B,Ferrell,M,carey.ferrell@yahoo.com,Robby Ferrell,Christi Ferrell,Bradshaw,5/22/1972,4:16:53 PM,87,10/30/2004,125232,5%,New Baltimore,Greene,New Baltimore,NY,Northeast
308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,Kurt Blanchard,Virgie Blanchard,Christian,12/05/1986,11:18:17 AM,49,7/18/2009,179264,13%,Herman,Washington,Herman,NE,Midwest
766783,Mrs.,Marta,N,Cervantes,F,marta.cervantes@gmail.com,Fletcher Cervantes,Hazel Cervantes,Singleton,2/17/1971,8:46:37 AM,48,9/17/2016,68134,14%,Hoquiam,Grays Harbor,Hoquiam,WA,West
959506,Mr.,Arthur,Q,Holloway,M,arthur.holloway@aol.com,Reggie Holloway,Rosemarie Holloway,Pope,9/21/1970,11:57:43 PM,65,1/27/2004,118621,6%,Dodson,Winn,Dodson,LA,South
513011,Ms.,Tara,Y,Forbes,F,tara.forbes@gmail.com,Davis Forbes,Elvia Forbes,Gonzalez,6/26/1976,7:47:36 PM,55,9/24/2009,85864,26%,Sheldon,O'Brien,Sheldon,IA,Midwest
290808,Mr.,Josef,S,Griffin,M,josef.griffin@yahoo.com,Dee Griffin,Leonor Griffin,Glass,8/14/1976,4:28:48 AM,73,2/25/1998,98030,30%,Sacramento,Sacramento,Sacramento,CA,West
253588,Ms.,Keri,J,Slater,F,keri.slater@apple.com,Tyler Slater,Jeanne Slater,Bowman,08/03/1960,11:14:40 AM,58,08/09/1994,149842,10%,Friendship,Knox,Friendship,ME,Northeast
865628,Mr.,Desmond,R,Wynn,M,desmond.wynn@hotmail.com,Louis Wynn,Marianne Wynn,Dennis,07/09/1992,4:39:00 AM,58,10/01/2013,79476,9%,Fresno,Fresno,Fresno,CA,West
